instance ASCENT_CANDIDATES BACKBONE_TRIALS BACKTRACKING CANDIDATE_SET_TYPE EXTRA_CANDIDATES EXTRA_CANDIDATE_SET_TYPE GAIN23 GAIN_CRITERION INITIAL_STEP_SIZE INITIAL_TOUR_ALGORITHM KICK_TYPE KICKS MAX_CANDIDATES MOVE_TYPE PATCHING_A PATCHING_C POPULATION_SIZE RESTRICTED_SEARCH SUBGRADIENT SUBSEQUENT_MOVE_TYPE SUBSEQUENT_PATCHING result
121 314 4 YES DELAUNAY 20 QUADRANT NO YES 1 GREEDY 15 5 13 19 18 4 328 YES NO 3 NO 37524858
121 415 3 NO ALPHA 6 QUADRANT NO NO 3 SIERPINSKI 7 2 4 8 12 4 635 NO NO 0 YES 38596885
121 403 5 NO QUADRANT 17 QUADRANT YES YES 4 QUICK-BORUVKA 18 1 11 17 14 3 649 NO NO 5 NO 38249687
121 156 2 NO NEAREST-NEIGHBOR 4 NEAREST-NEIGHBOR NO YES 1 QUICK-BORUVKA 4 5 19 19 2 2 665 NO NO 4 NO 38508596
121 237 3 NO ALPHA 14 QUADRANT YES YES 5 SIERPINSKI 9 4 20 12 4 2 870 NO NO 5 NO 41401855
121 262 3 YES QUADRANT 12 NEAREST-NEIGHBOR NO YES 5 NEAREST-NEIGHBOR 20 5 9 9 13 3 55 YES NO 3 NO 32977470
121 286 5 NO DELAUNAY 3 QUADRANT YES YES 3 QUICK-BORUVKA 5 3 8 13 2 2 966 YES NO 3 YES 36596538
121 248 3 NO ALPHA 9 NEAREST-NEIGHBOR NO NO 2 SIERPINSKI 20 2 19 17 19 5 93 YES NO 4 YES 42279685
121 260 1 NO QUADRANT 1 NEAREST-NEIGHBOR NO YES 3 QUICK-BORUVKA 15 5 17 13 11 5 49 NO NO 6 NO 38323660
121 192 3 YES QUADRANT 20 NEAREST-NEIGHBOR YES NO 4 MOORE 13 3 19 20 10 2 654 NO NO 3 YES 43032980
121 434 4 NO ALPHA 18 QUADRANT YES YES 1 QUICK-BORUVKA 18 3 3 9 5 1 326 YES NO 2 YES 33223566
121 488 0 NO DELAUNAY 3 NEAREST-NEIGHBOR YES NO 4 NEAREST-NEIGHBOR 12 5 3 13 7 3 25 NO NO 0 NO 36590334
121 478 0 NO QUADRANT 16 NEAREST-NEIGHBOR NO NO 2 NEAREST-NEIGHBOR 12 5 19 14 13 4 202 NO NO 0 YES 41498197
121 332 4 YES DELAUNAY 15 QUADRANT YES YES 1 NEAREST-NEIGHBOR 13 3 3 16 7 2 743 YES NO 3 YES 42072576
